2020-05-19 16:57:25.380 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xgit.kafka.KafkaApplicationTests], using SpringBootContextLoader
2020-05-19 16:57:25.404 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xgit.kafka.KafkaApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-19 16:57:25.408 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xgit.kafka.KafkaApplicationTests]: KafkaApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-19 16:57:25.807 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xgit.kafka.KafkaApplication for test class com.xgit.kafka.KafkaApplicationTests
2020-05-19 16:57:26.078 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-19 16:57:26.126 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4c5ae43b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@264f218, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3576ddc2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@35b74c5c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2e570ded, org.springframework.test.context.transaction.TransactionalTestExecutionListener@b86de0d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@81d9a72, org.springframework.test.context.event.EventPublishingTestExecutionListener@747f281, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1169afe1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2ca26d77, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4808bc9b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@70e38ce1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2ca923bb]
2020-05-19 16:57:26.686 [main] INFO  com.xgit.kafka.KafkaApplicationTests - Starting KafkaApplicationTests on wanghuxiong with PID 42764 (started by win in D:\GitProject\KafkaMonitoring)
2020-05-19 16:57:26.688 [main] INFO  com.xgit.kafka.KafkaApplicationTests - No active profile set, falling back to default profiles: default
2020-05-19 16:57:28.751 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-19 16:57:29.663 [main] INFO  com.xgit.kafka.KafkaApplicationTests - Started KafkaApplicationTests in 3.468 seconds (JVM running for 5.768)
2020-05-19 16:57:30.399 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-19 17:04:29.768 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xgit.kafka.KafkaApplicationTests], using SpringBootContextLoader
2020-05-19 17:04:29.780 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xgit.kafka.KafkaApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-19 17:04:29.782 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xgit.kafka.KafkaApplicationTests]: KafkaApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-19 17:04:29.965 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xgit.kafka.KafkaApplication for test class com.xgit.kafka.KafkaApplicationTests
2020-05-19 17:04:30.135 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
